,region1
1980-01-01 00:00:00,-40.8
1980-01-01 01:00:00,-40.7
1980-01-01 02:00:00,-39.8
1980-01-01 03:00:00,-39.4
1980-01-01 04:00:00,-38.2
1980-01-01 05:00:00,-38.4
1980-01-01 06:00:00,-41.5
1980-01-01 07:00:00,-47.2
1980-01-01 08:00:00,-50.1
1980-01-01 09:00:00,-51.3
1980-01-01 10:00:00,-51.8
1980-01-01 11:00:00,-52.0
1980-01-01 12:00:00,-52.2
1980-01-01 13:00:00,-51.9
1980-01-01 14:00:00,-51.8
1980-01-01 15:00:00,-51.2
1980-01-01 16:00:00,-53.6
1980-01-01 17:00:00,-56.5
1980-01-01 18:00:00,-56.4
1980-01-01 19:00:00,-54.9
1980-01-01 20:00:00,-52.5
1980-01-01 21:00:00,-49.1
1980-01-01 22:00:00,-44.9
1980-01-01 23:00:00,-41.6